area1,district,building_type,year,price,rooms_count,no_first_no_last,area3_bins
45.0,Автозаводский район,панель,1976.0,5600000,2.0,False,1.0
42.5,Советский район,кирпич,1959.0,7350000,2.0,True,1.0
44.4,Советский район,панель,2026.0,9990000,1.0,True,3.0
68.7,Другой,монолитный железобетон,2026.0,8037900,1.0,True,3.0
39.0,Канавинский район,кирпич,2015.0,7250000,1.0,False,2.0
96.1,Советский район,кирпич,1970.0,5990000,3.0,False,2.0
46.7,Автозаводский район,панель,2022.0,6380000,2.0,True,1.0
36.0,Советский район,панель,2026.0,8964000,1.0,False,3.0
37.5,Сормовский район,блок+утеплитель,2023.0,5790000,1.0,True,3.0
67.0,Приокский район,панель,1991.0,7300000,3.0,False,1.0
54.0,Другой,монолитный железобетон,2015.0,7150000,2.0,False,2.0
58.1,Другой,кирпич,1964.0,4950000,3.0,True,1.0
63.3,Нижегородский район,панель,1984.0,7600000,3.0,True,1.0
56.0,Другой,панель,2019.0,7800000,2.0,True,2.0
59.0,Другой,кирпич,1953.0,3800000,2.0,False,2.0
36.1,Автозаводский район,кирпич,1988.0,4000000,1.0,False,1.0
60.0,Другой,монолитный железобетон,2026.0,8080200,1.0,True,3.0
42.8,Автозаводский район,панель,1967.0,4650000,2.0,True,1.0
38.0,Ленинский район,кирпич,1935.0,7100000,1.0,True,3.0
25.5,Советский район,блок+утеплитель,2022.0,5100000,0.8,True,0.0
44.61,Приокский район,кирпич,2017.0,9800000,1.0,True,2.0
21.9,Другой,монолитный железобетон,2026.0,3788897,1.0,True,1.0
66.7,Нижегородский район,блок+утеплитель,2011.0,8990000,2.0,True,2.0
51.6,Советский район,кирпич,1974.0,5980000,3.0,True,1.0
52.0,Другой,панель,1969.0,5490000,2.0,False,1.0
48.2,Другой,блок+утеплитель,2024.0,6749976,2.0,True,2.0
27.2,Нижегородский район,панель,2025.0,6300010,1.0,True,1.0
84.3,Другой,монолитный железобетон,2024.0,8345700,3.0,True,4.0
35.8,Нижегородский район,панель,1993.0,5980000,1.0,True,1.0
63.0,Ленинский район,панель,1987.0,9100000,3.0,True,1.0
62.6,Автозаводский район,кирпич,1980.0,9700000,3.0,True,1.0
67.3,Автозаводский район,кирпич,1930.0,6250000,2.0,True,2.0
61.0,Автозаводский район,панель,1981.0,5500000,3.0,False,1.0
46.6,Другой,кирпич,1951.0,6499000,2.0,True,1.0
59.0,Другой,кирпич,2000.0,6250000,2.0,False,1.0
59.2,Другой,панель,2024.0,6630400,2.0,True,3.0
45.2,Приокский район,блок+утеплитель,2016.0,7830000,1.0,True,2.0
60.3,Другой,панель,2025.0,8019900,2.0,True,3.0
56.0,Канавинский район,кирпич,1934.0,5650000,3.0,True,1.0
40.71,Советский район,панель,2026.0,9159750,1.0,True,3.0
44.8,Другой,монолитный железобетон,2024.0,6300000,1.0,True,3.0
60.0,Автозаводский район,панель,1985.0,6020000,3.0,True,1.0
30.7,Автозаводский район,блок+утеплитель,2011.0,4200000,1.0,False,1.0
32.2,Канавинский район,кирпич,1962.0,4750000,1.0,False,1.0
39.5,Автозаводский район,кирпич,1930.0,5490000,1.0,False,1.0
48.1,Другой,кирпич,1976.0,3600000,2.0,True,1.0
51.4,Другой,кирпич,1993.0,3200000,2.0,False,1.0
30.0,Автозаводский район,кирпич,1962.0,4270000,1.0,True,1.0
36.7,Автозаводский район,кирпич,1988.0,4150000,1.0,True,1.0
47.0,Другой,панель,1971.0,4320000,3.0,True,1.0
66.1,Ленинский район,кирпич,1980.0,7500000,3.0,False,2.0
82.5,Другой,панель,2024.0,9322500,3.0,True,4.0
45.7,Московский район,панель,1978.0,5300000,2.0,True,1.0
37.9,Ленинский район,кирпич,1961.0,3849999,2.0,False,1.0
47.2,Московский район,панель,1961.0,5400000,2.0,True,1.0
43.9,Другой,кирпич,1966.0,2949999,2.0,True,1.0
33.0,Другой,кирпич,1967.0,3570000,1.0,False,0.0
54.3,Другой,панель,2023.0,7167600,2.0,True,3.0
87.0,Другой,кирпич,1980.0,6000000,4.0,False,2.0
42.9,Нижегородский район,кирпич,1961.0,7550000,2.0,False,1.0
63.0,Канавинский район,панель,1970.0,7295000,3.0,False,1.0
29.9,Ленинский район,кирпич,1931.0,3090000,1.0,False,1.0
25.2,Другой,монолитный железобетон,2025.0,4258800,0.8,True,0.0
75.5,Приокский район,кирпич,1987.0,8800000,3.0,True,1.0
29.9,Автозаводский район,шлакоблок,1948.0,2999000,1.0,False,1.0
44.5,Нижегородский район,блок+утеплитель,2008.0,7450000,1.0,True,2.0
31.5,Ленинский район,кирпич,1962.0,4500000,1.0,True,1.0
30.9,Московский район,панель,1969.0,3620000,1.0,False,1.0
54.4,Нижегородский район,панель,2005.0,9540000,2.0,True,1.0
43.6,Приокский район,панель,1977.0,6300000,2.0,False,1.0
